# camdl 0.1.0+e6445b3 (2026-04-19)
beta	gamma	max_loglik	I0	R_init
1.2000	0.3000	-223.28	5.618949	162.576811
1.2000	0.3500	-192.01	5.843246	115.469813
1.2000	0.4000	-170.26	3.287166	59.403466
1.2000	0.4500	-139.59	4.832599	78.437219
1.2000	0.5000	-151.45	5.397013	140.034246
1.2000	0.5500	-140.49	7.501074	111.538387
1.2000	0.6000	-132.39	3.794029	27.563569
1.2000	0.6500	-175.80	3.896742	114.096396
1.2000	0.7000	-159.57	4.332820	65.072817
1.2000	0.7500	-158.99	3.920146	87.899506
1.2000	0.8000	-174.51	3.262794	62.465248
1.2000	0.8500	-172.24	6.331668	82.273572
1.5000	0.3000	-184.40	4.254076	160.829526
1.5000	0.3500	-138.37	3.762673	141.909594
1.5000	0.4000	-106.26	3.953396	90.277052
1.5000	0.4500	-97.02	4.316867	84.223967
1.5000	0.5000	-84.28	3.778587	81.631490
1.5000	0.5500	-93.34	4.432381	108.235400
1.5000	0.6000	-82.88	6.643538	81.875781
1.5000	0.6500	-85.84	4.152954	58.589371
1.5000	0.7000	-112.25	4.574918	119.570749
1.5000	0.7500	-101.64	4.207939	77.934765
1.5000	0.8000	-112.71	4.300179	96.001759
1.5000	0.8500	-106.83	4.696354	37.917816
1.8000	0.3000	-134.39	8.508068	179.100251
1.8000	0.3500	-105.16	7.533329	134.011859
1.8000	0.4000	-89.41	5.073216	111.840230
1.8000	0.4500	-77.18	4.184286	106.256849
1.8000	0.5000	-74.64	4.620851	148.365124
1.8000	0.5500	-70.61	4.679664	110.163675
1.8000	0.6000	-69.23	3.919440	79.991815
1.8000	0.6500	-81.37	5.047958	118.866448
1.8000	0.7000	-80.76	4.530590	109.088099
1.8000	0.7500	-92.37	4.895468	91.051113
1.8000	0.8000	-86.78	5.835982	83.781463
1.8000	0.8500	-88.58	3.881416	40.701081
2.1000	0.3000	-107.43	5.016974	223.830070
2.1000	0.3500	-86.44	2.532729	220.420290
2.1000	0.4000	-71.62	5.502655	135.281614
2.1000	0.4500	-66.41	4.760445	161.617966
2.1000	0.5000	-63.70	4.018280	121.847272
2.1000	0.5500	-62.96	4.909370	114.326386
2.1000	0.6000	-65.20	3.806485	106.295438
2.1000	0.6500	-66.22	4.429067	85.632872
2.1000	0.7000	-68.57	4.465326	72.090460
2.1000	0.7500	-74.64	4.382863	100.079762
2.1000	0.8000	-84.05	2.077221	101.594635
2.1000	0.8500	-109.19	5.373422	123.116715
2.4000	0.3000	-99.33	2.924275	251.261703
2.4000	0.3500	-76.99	4.668825	211.032587
2.4000	0.4000	-68.77	3.547195	162.457162
2.4000	0.4500	-63.89	4.433914	157.079202
2.4000	0.5000	-61.43	4.416700	132.010462
2.4000	0.5500	-60.84	4.065503	116.703808
2.4000	0.6000	-63.59	3.983978	135.001637
2.4000	0.6500	-64.15	3.389934	78.158163
