rep	status	elapsed_s	beta	gamma	rhat_beta	rhat_gamma	converged
1	ok	34.659844160079956	1.9718745099	0.6420817435	1.016	1.004	true
2	ok	26.263633966445923	2.0095254775	0.6558977151	1.031	1.008	true
3	ok	24.777426958084106	1.981097409	0.6872374825	1.049	1.022	true
4	ok	42.81854009628296	1.7906600019	0.7365507134	1.03	1.015	true
5	ok	31.961791038513184	1.9275402553	0.7005584116	1.025	1.03	true
6	ok	27.601614713668823	1.8955223536	0.6503360197	1.03	1.014	true
7	ok	28.484055042266846	1.9071481372	0.6492764792	1.019	1.015	true
8	ok	28.2982120513916	1.8104060188	0.6399854627	1.015	1.033	true
9	ok	27.18765091896057	1.9713799648	0.6390941473	1.021	1.018	true
10	ok	27.213449954986572	1.9607476054	0.7341023853	1.047	1.013	true
11	ok	25.885601043701172	1.8274893411	0.68080092	1.004	1.013	true
12	ok	30.192146062850952	1.9050551778	0.7083655425	1.03	1.009	true
13	ok	29.884042024612427	1.9782807335	0.6615906817	1.049	1.017	true
14	ok	27.900043725967407	2.0253804588	0.6283879412	1.028	1.018	true
15	ok	25.546129941940308	2.0172748093	0.6440185331	1.034	1.009	true
16	ok	28.639944791793823	1.8121608037	0.6078914112	1.053	1.018	true
17	ok	27.489484071731567	1.9180240406	0.6472319032	1.033	1.015	true
18	ok	28.05963110923767	1.9135210167	0.6031067025	1.025	1.013	true
19	ok	26.62606382369995	1.9687355231	0.6991757514	1.016	1.019	true
20	ok	27.092750072479248	2.048961574	0.6902036947	1.027	1.018	true
21	ok	26.735416173934937	1.9416267859	0.7025378697	1.021	1.012	true
22	ok	29.78836488723755	1.7933014904	0.7101347089	1.038	1.007	true
23	ok	27.374409914016724	1.8645675282	0.7017524828	1.026	1.031	true
24	ok	26.526434898376465	2.0161983249	0.6510179213	1.025	1.008	true
25	ok	30.001471042633057	1.8443487715	0.7062008681	1.045	1.009	true
26	ok	27.88611388206482	1.9664280594	0.6163308821	1.056	1.02	true
27	ok	26.500099182128906	1.7882929973	0.6595645829	1.048	1.009	true
28	ok	26.543138027191162	1.9733629157	0.6489535293	1.03	1.007	true
29	ok	25.514045238494873	1.8671940103	0.6274809623	1.045	1.019	true
30	ok	26.91790509223938	2.0257185402	0.6600569104	1.087	1.013	true
