time	cases
7	82
14	98
21	118
28	153
35	206
42	217
49	226
56	239
63	279
70	244
77	286
84	363
91	300
98	324
105	273
112	283
119	207
126	213
133	210
140	213
147	217
154	271
161	242
168	199
175	139
182	129
189	130
196	130
203	90
210	73
217	47
224	36
231	39
238	21
245	27
252	14
259	29
266	19
273	27
280	38
287	28
294	54
301	65
308	80
315	57
322	65
329	110
336	84
343	123
350	114
357	163
364	155
371	240
378	210
385	290
392	381
399	573
406	814
413	640
420	977
427	986
434	1072
441	1498
448	1601
455	1652
462	1688
469	1651
476	1314
483	1058
490	815
497	822
504	819
511	614
518	508
525	472
532	412
539	342
546	249
553	220
560	207
567	153
574	129
581	113
588	61
595	66
602	61
609	48
616	36
623	46
630	51
637	35
644	33
651	48
658	40
665	47
672	32
679	23
686	35
693	42
700	43
707	33
714	42
721	52
728	69
735	88
742	86
749	109
756	100
763	221
770	237
777	353
784	389
791	372
798	557
805	430
812	597
819	675
826	736
833	950
840	935
847	1054
854	1056
861	928
868	836
875	1034
882	967
889	1073
896	1081
903	977
910	866
917	797
924	630
931	492
938	478
945	376
952	350
959	255
966	161
973	125
980	93
987	78
994	82
1001	69
1008	91
1015	72
1022	116
1029	105
1036	119
1043	157
1050	141
1057	215
1064	221
1071	239
1078	243
1085	239
1092	229
1099	359
1106	291
1113	378
1120	418
1127	482
1134	583
1141	597
1148	644
1155	656
1162	574
1169	499
1176	513
1183	541
1190	440
1197	525
1204	490
1211	408
1218	363
1225	499
1232	532
1239	548
1246	545
1253	681
1260	515
1267	637
1274	439
1281	556
1288	473
1295	455
1302	373
1309	366
1316	303
1323	229
1330	143
1337	110
1344	61
1351	36
1358	48
1365	39
1372	32
1379	50
1386	63
1393	41
1400	67
1407	72
1414	116
1421	120
1428	121
1435	149
1442	156
1449	133
1456	115
1463	251
1470	226
1477	240
1484	284
1491	340
1498	511
1505	649
1512	766
1519	932
1526	1303
1533	1257
1540	1716
1547	1425
1554	1719
1561	1809
1568	1360
1575	1147
1582	1101
1589	936
1596	1040
1603	994
1610	1134
1617	818
1624	1083
1631	755
1638	880
1645	680
1652	585
1659	602
1666	552
1673	457
1680	430
1687	287
1694	189
1701	149
1708	120
1715	88
1722	83
1729	91
1736	94
1743	79
1750	78
1757	86
1764	119
1771	123
1778	108
1785	135
1792	127
1799	157
1806	176
1813	180
1820	110
1827	294
1834	318
1841	320
1848	357
1855	487
1862	496
1869	809
1876	777
1883	831
1890	1081
1897	1034
1904	1231
1911	1274
1918	1487
1925	1753
1932	1635
1939	1699
1946	1541
1953	1170
1960	1108
1967	1105
1974	953
1981	1083
1988	801
1995	908
2002	613
