# camdl 0.1.0+251d7ee (2026-04-16)
t	S	I	R	flow_infection	flow_recovery
0	9990	10	0	0	0
1	9986	13	1	4	1
2	9977	20	3	9	2
3	9969	26	5	8	2
4	9962	28	10	7	5
5	9956	31	13	6	3
6	9941	42	17	15	4
7	9930	45	25	11	8
8	9907	59	34	23	9
9	9893	66	41	14	7
10	9860	88	52	33	11
11	9829	107	64	31	12
12	9782	131	87	47	23
13	9735	168	97	47	10
14	9648	222	130	87	33
15	9550	293	157	98	27
16	9416	374	210	134	53
17	9267	459	274	149	64
18	9051	598	351	216	77
19	8816	735	449	235	98
20	8505	916	579	311	130
21	8195	1079	726	310	147
22	7777	1329	894	418	168
23	7358	1560	1082	419	188
24	6839	1827	1334	519	252
25	6353	2019	1628	486	294
26	5868	2172	1960	485	332
27	5400	2297	2303	468	343
28	4895	2449	2656	505	353
29	4429	2560	3011	466	355
30	3956	2631	3413	473	402
31	3544	2645	3811	412	398
32	3201	2575	4224	343	413
33	2882	2500	4618	319	394
34	2641	2350	5009	241	391
35	2394	2254	5352	247	343
36	2194	2129	5677	200	325
37	1994	1994	6012	200	335
38	1843	1851	6306	151	294
39	1713	1706	6581	130	275
40	1606	1554	6840	107	259
41	1504	1423	7073	102	233
42	1416	1312	7272	88	199
43	1344	1192	7464	72	192
44	1279	1080	7641	65	177
45	1227	973	7800	52	159
46	1175	902	7923	52	123
47	1129	822	8049	46	126
48	1102	714	8184	27	135
49	1080	640	8280	22	96
50	1053	557	8390	27	110
51	1042	490	8468	11	78
52	1026	442	8532	16	64
53	1007	410	8583	19	51
54	989	378	8633	18	50
55	977	337	8686	12	53
56	960	291	8749	17	63
57	953	253	8794	7	45
58	945	232	8823	8	29
59	943	207	8850	2	27
60	937	176	8887	6	37
61	931	156	8913	6	26
62	927	137	8936	4	23
63	922	125	8953	5	17
64	915	114	8971	7	18
65	911	103	8986	4	15
66	909	90	9001	2	15
67	906	82	9012	3	11
68	903	76	9021	3	9
69	898	70	9032	5	11
70	895	70	9035	3	3
71	895	58	9047	0	12
72	892	55	9053	3	6
73	890	49	9061	2	8
74	890	43	9067	0	6
75	889	40	9071	1	4
76	888	36	9076	1	5
77	887	35	9078	1	2
78	884	34	9082	3	4
79	883	32	9085	1	3
80	881	29	9090	2	5
