time	cholera_deaths
1891.083333	2641
1891.166667	939
1891.25	905
1891.333333	1219
1891.416667	368
1891.5	78
1891.583333	29
1891.666667	12
1891.75	30
1891.833333	44
1891.916667	270
1892.0	1149
1892.083333	633
1892.166667	501
1892.25	855
1892.333333	1271
1892.416667	666
1892.5	101
1892.583333	62
1892.666667	23
1892.75	20
1892.833333	28
1892.916667	461
1893.0	892
1893.083333	751
1893.166667	170
1893.25	253
1893.333333	906
1893.416667	700
1893.5	98
1893.583333	57
1893.666667	72
1893.75	471
1893.833333	4217
1893.916667	5168
1894.0	4747
1894.083333	2380
1894.166667	852
1894.25	1166
1894.333333	2122
1894.416667	576
1894.5	60
1894.583333	53
1894.666667	62
1894.75	241
1894.833333	403
1894.916667	551
1895.0	739
1895.083333	862
1895.166667	348
1895.25	490
1895.333333	5596
1895.416667	1180
1895.5	142
1895.583333	41
1895.666667	28
1895.75	39
1895.833333	748
1895.916667	3934
1896.0	3562
1896.083333	587
1896.166667	311
1896.25	1639
1896.333333	1903
1896.416667	601
1896.5	110
1896.583333	32
1896.666667	19
1896.75	82
1896.833333	420
1896.916667	1014
1897.0	1073
1897.083333	416
1897.166667	168
1897.25	909
1897.333333	1355
1897.416667	447
1897.5	59
1897.583333	13
1897.666667	21
1897.75	43
1897.833333	109
1897.916667	338
1898.0	470
1898.083333	489
1898.166667	394
1898.25	483
1898.333333	842
1898.416667	356
1898.5	29
1898.583333	17
1898.666667	16
1898.75	57
1898.833333	110
1898.916667	488
1899.0	1727
1899.083333	1253
1899.166667	359
1899.25	245
1899.333333	549
1899.416667	215
1899.5	9
1899.583333	7
1899.666667	31
1899.75	236
1899.833333	279
1899.916667	819
1900.0	1728
1900.083333	1942
1900.166667	1251
1900.25	3521
1900.333333	3412
1900.416667	290
1900.5	46
1900.583333	35
1900.666667	14
1900.75	79
1900.833333	852
1900.916667	2951
1901.0	2656
1901.083333	607
1901.166667	172
1901.25	325
1901.333333	2191
1901.416667	584
1901.5	58
1901.583333	38
1901.666667	8
1901.75	22
1901.833333	50
1901.916667	380
1902.0	2059
1902.083333	938
1902.166667	389
1902.25	767
1902.333333	1882
1902.416667	286
1902.5	94
1902.583333	61
1902.666667	10
1902.75	106
1902.833333	281
1902.916667	357
1903.0	1388
1903.083333	810
1903.166667	306
1903.25	381
1903.333333	1308
1903.416667	702
1903.5	87
1903.583333	9
1903.666667	14
1903.75	36
1903.833333	46
1903.916667	553
1904.0	1302
1904.083333	618
1904.166667	147
1904.25	414
1904.333333	768
1904.416667	373
1904.5	39
1904.583333	10
1904.666667	36
1904.75	151
1904.833333	1130
1904.916667	3437
1905.0	4041
1905.083333	1415
1905.166667	207
1905.25	92
1905.333333	128
1905.416667	147
1905.5	32
1905.583333	7
1905.666667	59
1905.75	426
1905.833333	2644
1905.916667	2891
1906.0	4249
1906.083333	2291
1906.166667	797
1906.25	680
1906.333333	1036
1906.416667	404
1906.5	41
1906.583333	19
1906.666667	12
1906.75	10
1906.833333	121
1906.916667	931
1907.0	2158
1907.083333	1886
1907.166667	803
1907.25	397
1907.333333	613
1907.416667	132
1907.5	48
1907.583333	17
1907.666667	22
1907.75	26
1907.833333	34
1907.916667	344
1908.0	657
1908.083333	117
1908.166667	75
1908.25	443
1908.333333	972
1908.416667	646
1908.5	107
1908.583333	18
1908.666667	6
1908.75	9
1908.833333	5
1908.916667	12
1909.0	142
1909.083333	133
1909.166667	189
