# camdl 0.1.0+e6445b3 (2026-04-19)
I0	R_init	max_loglik	beta	gamma
1.0000	0.0000	-67.97	1.970951	0.669670
1.0000	30.0000	-67.42	2.403448	0.664953
1.0000	60.0000	-67.03	2.415190	0.605610
1.0000	90.0000	-66.72	2.423878	0.583556
1.0000	120.0000	-66.27	2.809773	0.558429
1.0000	160.0000	-65.77	3.026772	0.527035
1.0000	200.0000	-65.27	3.367241	0.505558
1.0000	240.0000	-65.34	3.768709	0.503998
1.0000	280.0000	-65.69	4.340098	0.441857
1.0000	320.0000	-67.12	4.439129	0.438460
1.0000	360.0000	-75.16	4.363024	0.412708
1.0000	400.0000	-95.15	4.331923	0.355795
2.0000	0.0000	-63.28	1.999587	0.659434
2.0000	30.0000	-63.42	2.088035	0.657343
2.0000	60.0000	-62.87	2.281207	0.608531
2.0000	90.0000	-62.46	2.459339	0.568324
2.0000	120.0000	-62.01	2.661161	0.568119
2.0000	160.0000	-61.78	2.887736	0.524718
2.0000	200.0000	-61.65	3.264449	0.488758
2.0000	240.0000	-61.62	3.806146	0.501488
2.0000	280.0000	-62.21	4.330589	0.449151
2.0000	320.0000	-62.57	4.795022	0.449908
2.0000	360.0000	-71.27	4.678899	0.375134
2.0000	400.0000	-80.18	4.898071	0.377261
3.0000	0.0000	-61.88	1.969484	0.664370
3.0000	30.0000	-61.27	2.033790	0.617001
3.0000	60.0000	-61.66	2.261557	0.611250
3.0000	90.0000	-61.14	2.457056	0.576019
3.0000	120.0000	-61.05	2.589243	0.550636
3.0000	160.0000	-60.91	2.871914	0.534754
3.0000	200.0000	-60.88	3.123018	0.511604
3.0000	240.0000	-61.82	3.544973	0.515571
3.0000	280.0000	-61.66	4.256255	0.515302
3.0000	320.0000	-62.49	4.850205	0.427552
3.0000	360.0000	-72.08	4.612128	0.394341
3.0000	400.0000	-78.32	4.946230	0.339482
4.0000	0.0000	-61.50	1.997807	0.671675
4.0000	30.0000	-60.88	2.040297	0.651669
4.0000	60.0000	-60.97	2.258338	0.611266
4.0000	90.0000	-60.96	2.324052	0.593607
4.0000	120.0000	-61.06	2.528590	0.568663
4.0000	160.0000	-60.69	2.780973	0.533314
4.0000	200.0000	-61.26	2.940465	0.525960
4.0000	240.0000	-62.18	3.370401	0.507137
4.0000	280.0000	-62.70	3.781498	0.461926
4.0000	320.0000	-67.09	4.228056	0.414514
4.0000	360.0000	-72.43	4.898527	0.393525
4.0000	400.0000	-83.42	4.934308	0.355547
5.0000	0.0000	-61.38	1.870770	0.666904
5.0000	30.0000	-61.51	2.157992	0.648585
5.0000	60.0000	-61.12	2.149734	0.619799
5.0000	90.0000	-61.53	2.366281	0.587546
5.0000	120.0000	-61.58	2.471214	0.548068
5.0000	160.0000	-61.65	2.820880	0.530904
5.0000	200.0000	-61.57	3.206165	0.512345
5.0000	240.0000	-63.48	3.355330	0.485816
5.0000	280.0000	-62.98	3.545661	0.529389
5.0000	320.0000	-65.70	4.204736	0.430064
5.0000	360.0000	-71.02	4.956889	0.447204
5.0000	400.0000	-84.96	4.974600	0.340626
6.0000	0.0000	-61.89	1.821036	0.667602
6.0000	30.0000	-62.21	2.068382	0.645560
6.0000	60.0000	-62.45	2.164466	0.602282
6.0000	90.0000	-62.45	2.210974	0.585324
6.0000	120.0000	-62.64	2.414009	0.557384
6.0000	160.0000	-62.94	2.695210	0.535892
6.0000	200.0000	-63.43	2.927970	0.503740
6.0000	240.0000	-64.23	3.450701	0.469384
6.0000	280.0000	-64.29	3.577090	0.505304
6.0000	320.0000	-69.43	3.773064	0.438848
6.0000	360.0000	-73.37	4.295466	0.397580
6.0000	400.0000	-83.54	4.157213	0.390980
8.0000	0.0000	-64.78	1.927760	0.660912
8.0000	30.0000	-64.50	1.990954	0.628994
8.0000	60.0000	-64.76	2.084293	0.610871
8.0000	90.0000	-65.02	2.321124	0.578716
8.0000	120.0000	-65.51	2.363354	0.559899
8.0000	160.0000	-65.98	2.604688	0.543695
8.0000	200.0000	-66.83	2.790646	0.496813
8.0000	240.0000	-68.40	2.708560	0.544522
8.0000	280.0000	-70.27	3.655242	0.488153
8.0000	320.0000	-73.19	3.860911	0.455079
8.0000	360.0000	-79.45	4.287717	0.348980
8.0000	400.0000	-85.99	4.479990	0.403674
10.0000	0.0000	-67.58	1.816080	0.665695
10.0000	30.0000	-67.70	1.951800	0.632253
10.0000	60.0000	-68.24	2.065213	0.615063
10.0000	90.0000	-68.36	2.208087	0.579036
10.0000	120.0000	-68.61	2.332401	0.557558
10.0000	160.0000	-69.44	2.530057	0.549684
10.0000	200.0000	-70.80	2.909308	0.498806
10.0000	240.0000	-72.11	3.145903	0.502736
10.0000	280.0000	-74.69	3.586521	0.439440
10.0000	320.0000	-80.53	3.680039	0.426509
10.0000	360.0000	-85.01	3.884240	0.424330
10.0000	400.0000	-94.47	4.074047	0.328566
12.0000	0.0000	-70.57	1.758450	0.664769
12.0000	30.0000	-71.27	1.967205	0.627177
12.0000	60.0000	-71.67	2.118475	0.608623
12.0000	90.0000	-71.69	2.199682	0.575034
12.0000	120.0000	-72.39	2.335601	0.575461
12.0000	160.0000	-72.13	2.713539	0.526354
12.0000	200.0000	-73.86	2.973781	0.511301
12.0000	240.0000	-76.08	3.059909	0.464115
12.0000	280.0000	-78.26	2.858797	0.476709
12.0000	320.0000	-83.02	3.701250	0.380478
12.0000	360.0000	-86.84	3.925308	0.392352
12.0000	400.0000	-104.01	4.205771	0.338380
14.0000	0.0000	-73.95	1.730316	0.671175
14.0000	30.0000	-74.37	2.023924	0.625140
14.0000	60.0000	-74.84	2.116585	0.602924
14.0000	90.0000	-74.05	2.388396	0.589530
14.0000	120.0000	-75.91	2.480642	0.552431
14.0000	160.0000	-77.09	2.549992	0.525687
14.0000	200.0000	-79.38	2.675577	0.519123
14.0000	240.0000	-81.73	2.890104	0.486011
14.0000	280.0000	-82.90	3.651522	0.424082
14.0000	320.0000	-88.82	3.093608	0.480779
14.0000	360.0000	-96.00	3.310231	0.380098
14.0000	400.0000	-110.70	3.948572	0.360769
16.0000	0.0000	-77.97	1.880762	0.640458
16.0000	30.0000	-77.83	1.880340	0.619421
16.0000	60.0000	-77.48	2.067588	0.599183
16.0000	90.0000	-79.19	2.061509	0.603863
16.0000	120.0000	-76.91	2.437063	0.571813
16.0000	160.0000	-78.35	2.515943	0.534156
16.0000	200.0000	-82.63	2.804459	0.496779
16.0000	240.0000	-85.24	2.918515	0.462834
16.0000	280.0000	-92.95	3.224923	0.444892
16.0000	320.0000	-94.86	2.966094	0.425554
16.0000	360.0000	-103.03	3.307532	0.408468
16.0000	400.0000	-119.00	3.799590	0.340507
18.0000	0.0000	-80.98	1.873809	0.680988
18.0000	30.0000	-81.63	2.090899	0.627592
18.0000	60.0000	-81.50	2.024210	0.609064
18.0000	90.0000	-81.64	2.039329	0.574988
18.0000	120.0000	-83.93	2.291810	0.563498
18.0000	160.0000	-84.45	2.383280	0.528452
18.0000	200.0000	-87.45	2.555606	0.545442
18.0000	240.0000	-90.47	2.921618	0.484402
18.0000	280.0000	-92.94	2.891599	0.451706
18.0000	320.0000	-102.43	3.069930	0.422342
18.0000	360.0000	-112.50	3.292305	0.379405
18.0000	400.0000	-124.28	3.694002	0.345231
20.0000	0.0000	-85.84	1.807549	0.646347
20.0000	30.0000	-85.91	1.921415	0.629283
20.0000	60.0000	-83.40	1.823507	0.624626
20.0000	90.0000	-87.36	2.074226	0.578295
20.0000	120.0000	-89.30	2.179672	0.557386
20.0000	160.0000	-92.36	2.247921	0.531747
20.0000	200.0000	-90.36	2.553100	0.505939
20.0000	240.0000	-98.09	2.624006	0.488070
20.0000	280.0000	-102.98	2.797093	0.411773
20.0000	320.0000	-109.21	3.242258	0.482948
20.0000	360.0000	-121.33	3.041667	0.363962
20.0000	400.0000	-124.34	4.050293	0.340269
