time	cases
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	4
35	0
36	0
37	0
38	2
39	3
40	7
41	6
42	9
43	15
44	28
45	11
46	24
47	31
48	38
49	100
50	59
51	81
52	92
53	98
54	66
55	119
56	114
57	118
58	202
59	176
60	251
61	189
62	257
63	368
64	116
65	623
66	562
67	541
68	586
69	283
70	113
71	296
72	997
73	381
74	532
75	486
76	400
77	298
78	415
79	511
80	279
81	339
82	187
83	133
84	164
85	95
86	374
87	299
88	371
89	14
90	391
91	155
92	196
93	375
94	216
95	368
96	179
97	214
98	207
99	325
100	324
