time	cases
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	3
25	2
26	2
27	2
28	3
29	5
30	6
31	8
32	9
33	12
34	21
35	26
36	32
37	60
38	64
39	88
40	97
41	154
42	178
43	171
44	202
45	276
46	170
47	129
48	193
49	135
50	129
51	71
52	47
53	47
54	37
55	16
56	12
57	10
58	5
59	9
60	10
61	2
62	4
63	6
64	3
65	2
66	2
67	2
68	1
69	2
70	0
71	0
72	2
73	2
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	1
85	0
86	0
87	2
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	1
101	0
102	0
103	0
104	0
105	0
106	1
107	0
108	0
109	0
110	0
111	0
112	1
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
