time	slide_positivity
0	9
7	12
14	12
21	12
28	19
35	24
42	24
49	42
56	63
63	68
70	103
77	100
84	126
91	123
98	120
105	120
112	115
119	114
126	94
133	99
140	96
147	102
154	105
161	95
168	90
175	95
182	86
189	94
196	94
203	86
210	82
217	79
224	85
231	102
238	94
245	85
252	103
259	93
266	92
273	95
280	97
287	94
294	110
301	110
308	96
315	101
322	104
329	115
336	103
343	115
350	102
357	95
364	106
371	117
378	115
385	112
392	112
399	118
406	115
413	117
420	110
427	113
434	113
441	114
448	126
455	126
462	114
469	114
476	107
483	116
490	111
497	118
504	122
511	114
518	126
525	135
532	131
539	116
546	128
553	132
560	123
567	124
574	121
581	123
588	122
595	121
602	125
609	138
616	123
623	121
630	134
637	122
644	122
651	129
658	128
665	139
672	132
679	132
686	135
693	118
700	139
707	109
714	126
721	117
728	129
735	118
742	121
749	132
756	121
763	123
770	126
777	133
784	118
791	127
798	125
805	120
812	132
819	121
826	130
833	123
840	127
847	122
854	126
861	129
868	130
875	128
882	118
889	117
896	134
903	123
910	128
917	122
924	127
931	132
938	125
945	127
952	121
959	125
966	108
973	118
980	136
987	129
994	104
1001	140
1008	126
1015	130
1022	121
1029	131
1036	132
1043	113
1050	116
1057	123
1064	123
1071	126
1078	113
1085	135
1092	138
